Site,Longitude,Latitude,Total Data Traffic(DL+UL): MB, DL PDCP Throughput (Mbps),Area Code,Area LTE Traffic  %,Area  DL PDCP Throughput (Mbps),Category,Site Name,REGION,UNION,THANA,Area Name
SYSDR94,91.8909,24.873,9320.0,12.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"BISIC Shilpo Nogor, Sylhet_CC",SYLHET,WARD NO-27,SYLHET SADAR,SYLHET METRO
SYSDR95,91.8701,24.884,10748.4,12.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Shaplabag, Tilagor",SYLHET,WARD NO-26,SYLHET SADAR,SYLHET METRO
SYSDR96,91.87,24.8906,12627.9,9.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Bondor Bazar,SYLHET,WARD NO-14,SYLHET SADAR,SYLHET METRO
SYSDR97,91.86881,24.905415,10589.2,15.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Century Shopping Market,SYLHET,WARD NO-04,SYLHET SADAR,SYLHET METRO
SYSDR98,91.8447,24.9088,10941.0,12.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,West Shagor Dighirpar,SYLHET,NA,SYLHET SADAR,0
SYSDR99,91.8809,24.8894,11027.2,13.1,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Dubri Howor, Sobhany ghat",SYLHET,WARD NO-23,SYLHET SADAR,SYLHET METRO
SYSDRA1,91.8514,24.895,3704.0,13.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Nawab Road, West Sheikh Ghat",SYLHET,WARD NO-11,SYLHET SADAR,SYLHET METRO
SYSDRA2,91.8761,24.9043,9418.1,15.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Kaher Mia Goli, Kazitola",SYLHET,WARD NO-17,SYLHET SADAR,SYLHET METRO
SYSDRA3,91.8556,24.9108,12775.3,14.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Hadi Mansion Market, Patantola",SYLHET,WARD NO-08,SYLHET SADAR,SYLHET METRO
SYSDRA4,91.8644,24.8791,11677.4,13.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Bejbari, South Surma",SYLHET,WARD NO-25,SYLHET SADAR,SYLHET METRO
SYSDRA6,91.8866,24.8878,5390.7,13.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Uposhahar Shadar_Block-C,SYLHET,WARD NO-22,SYLHET SADAR,SYLHET METRO
SYSDRA7,91.8542,24.9059,4685.3,13.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shagordeghir Par,SYLHET,WARD NO-09,SYLHET SADAR,SYLHET METRO
SYSDRA8,91.8905,24.8887,12551.7,15.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shahjalal Housing Estate,SYLHET,WARD NO-22,SYLHET SADAR,SYLHET METRO
SYSDRA9,91.8924,24.8957,9294.7,9.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Kharadipara,SYLHET,WARD NO-20,SYLHET SADAR,SYLHET METRO
SYSDRB0,91.8905,24.8999,3109.6,16.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Mojumder Para,SYLHET,WARD NO-20,SYLHET SADAR,SYLHET METRO
SYSDRB1,91.8713,24.941,611.8,2.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Baroshala,SYLHET,TUKER BAZAR,SYLHET SADAR,SYLHET METRO
SYSDRB4,91.8974,24.9096,6176.9,16.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,North Baluchor,SYLHET,TULTIKAR,SYLHET SADAR,SYLHET METRO
SYSDRB5,91.8708,24.9584,814.5,4.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Osmani International Airport,SYLHET,KHADIMNAGAR,SYLHET SADAR,SYLHET METRO
SYSDRB6,91.8845,24.8846,9434.6,12.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shahjalal R/A,SYLHET,WARD NO-22,SYLHET SADAR,SYLHET METRO
SYSDRB7,91.895,24.9002,5188.7,13.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shenpara,SYLHET,WARD NO-20,SYLHET SADAR,SYLHET METRO
SYSDRB8,91.8125,24.9293,6543.1,3.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Sirajul Islam Madrasa,SYLHET,KANDIGAON,SYLHET SADAR,SYLHET METRO
SYSDRB9,91.8652,24.8941,12332.8,9.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Tanim Tower,SYLHET,WARD NO-13,SYLHET SADAR,SYLHET METRO
SYSDRC0,91.8644,24.904,14878.9,13.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Dorga Moholla,SYLHET,WARD NO-01,SYLHET SADAR,SYLHET METRO
SYSDRC1,91.8589,24.8832,7577.2,13.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Khojarkola_Sylhet,SYLHET,WARD NO-25,SYLHET SADAR,SYLHET METRO
SYSDRC2,91.8855,24.8986,4812.7,14.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shebok_Agpara,SYLHET,WARD BO-18,SYLHET SADAR,SYLHET METRO
SYSDRC3,91.8595,24.9069,10243.6,12.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Khanua_mollagaon,SYLHET,WARD NO-03,SYLHET SADAR,SYLHET METRO
SYSDRC4,91.8407,24.9428,3593.9,4.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Nalia_Khadimnagar,SYLHET,KHADIMNAGAR,SYLHET SADAR,SYLHET METRO
SYSDRC5,91.8642,24.9523,3425.5,2.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Boroshala_Khadimnagar,SYLHET,KHADIMNAGAR,SYLHET SADAR,SYLHET METRO
SYSDRC6,91.9783,24.9402,10145.9,4.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,141 Field Workshop_Sylhet Cantonment,SYLHET,SYLHET CANTONMENT,SYLHET SADAR,SYLHET METRO
SYSDRF8,91.90182,24.89599,12310.8,12.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Tilagarh,SYLHET,WARD NO-21,SYLHET SADAR,SYLHET METRO
CGKTL01,91.84349958,22.33852854,6147.8,6.6,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Asadgonj,CHITTAGONG METRO,WARD NO-35 (PART),KOTWALI,KOTWALI
CGKTL02,91.82798214,22.34151,10884.7,6.0,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Love_Lane,CHITTAGONG METRO,WARD NO-22,KOTWALI,KOTWALI
CGKTL03,91.82945341,22.33156615,14118.6,6.8,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Nalapara,CHITTAGONG METRO,WARD NO-30 (PART),KOTWALI,KOTWALI
CGKTL04,91.82188847,22.35833386,8201.7,5.6,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,OR Nizam Road,CHITTAGONG METRO,WARD NO-15 (PART),KOTWALI,KOTWALI
CGKTL05,91.83697181,22.34638943,9680.9,6.7,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Anderkilla,CHITTAGONG METRO,WARD NO-21,KOTWALI,KOTWALI
CGKTL06,91.82515327,22.35236541,8974.8,7.4,CGKTL,3.49,6.82,High LTE traffic.10 Mbps<=Throughput<= 5Mbps,Mehdibagh,CHITTAGONG METRO,WARD NO-15 (PART),KOTWALI,KOTWALI
